image_name,slash_burn,clear,blooming,primary,cloudy,conventional_mine,water,haze,cultivation,partly_cloudy,artisinal_mine,habitation,bare_ground,blow_down,agriculture,road,selective_logging
train_33518,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_11151,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_13242,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_3691,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23941,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_8664,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_26266,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_28028,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38869,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_30586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_4639,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_36217,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_33303,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_14226,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_39363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_11293,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
train_35669,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_10187,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
train_19651,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_34039,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
train_30152,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_7932,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_16766,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_26239,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35793,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
train_3083,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
train_6089,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31179,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_4086,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_29455,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
train_15581,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_38150,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
train_36046,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_37075,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_38771,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_35366,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_22227,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_35972,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_8524,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
train_32516,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9156,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_10647,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_12064,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_2285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9607,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_26384,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
train_13698,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
train_24946,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
train_17408,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
train_11809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_16869,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_30496,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_35126,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
train_29942,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
train_33759,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_20111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31522,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_36441,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_31700,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_32818,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_12597,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1064,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
train_12856,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35000,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
train_14530,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
train_40429,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
train_11089,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_14158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_1738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_10322,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_33791,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_37628,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
train_39696,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_25641,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
train_119,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
train_22626,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1633,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_5094,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
train_26238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_19580,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_36526,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_34720,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_23193,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
train_8839,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_11362,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
train_28908,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_21791,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
train_25896,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
train_3146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_2645,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
train_37197,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_2468,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
train_25916,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_20351,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
train_15962,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_29445,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_33101,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_11579,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_6079,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_21836,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_4033,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_31955,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1627,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31898,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
train_13848,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24024,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23211,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
train_21289,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
train_33591,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
train_9765,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
train_13946,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_11949,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_9079,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_32583,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_18066,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1866,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24421,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_7251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_5776,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38827,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
train_23770,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_37760,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
train_12817,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_6291,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23716,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
train_8021,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
train_9121,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24937,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_32110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9806,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_8986,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_34640,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
train_19636,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15398,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
train_23158,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_6663,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_38209,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
train_20044,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_18998,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
train_18278,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_26436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_29412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_17704,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_17842,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_3359,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_33501,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_25980,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_22492,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_37359,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
train_15408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_39087,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_13070,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_4198,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_20827,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_22828,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_5067,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_37715,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15532,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
train_27574,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_25159,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_32358,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_11641,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_40297,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_7788,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_6384,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
train_24502,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_3467,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_2361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_11983,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_1443,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
train_16777,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_14095,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
train_36169,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
train_15385,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_10177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_26237,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_10504,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_11917,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
train_33053,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
train_23180,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
train_26916,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_19302,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_6205,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_17659,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_40293,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
train_4462,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_6988,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
train_6489,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_28275,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
train_3443,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_13820,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_22565,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23782,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_6281,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
train_15104,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_21140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_265,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_3693,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
train_8648,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_40420,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
train_10918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
train_3511,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_37595,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_10554,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_3105,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_16596,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31136,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
train_31897,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
train_38926,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
train_7851,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
train_33870,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
train_32777,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_746,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
train_40040,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31441,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_2254,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
train_35195,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
train_37345,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_16955,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
train_26148,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
train_15997,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_13320,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9257,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_4392,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_10714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_31694,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
train_17944,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
train_19609,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_20011,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38208,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_36879,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_29822,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1764,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
train_33881,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38991,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35019,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_23675,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_4954,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
train_32109,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_5284,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_32647,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_10708,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_30987,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_5859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_36899,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
train_5915,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_12764,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24287,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_7559,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_25589,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_24057,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15491,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
train_31812,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_29143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_11140,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23590,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_7847,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_5643,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_8725,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_37055,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_3433,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
train_16109,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_10102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_17316,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_23358,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_5011,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_36191,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_20392,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
train_16350,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_27842,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_12176,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_16513,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
train_18866,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_17510,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_1438,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_17397,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_11677,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
train_32854,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9918,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_21772,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_33190,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35059,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_28208,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_1130,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
train_24087,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
train_24285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_16930,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_27748,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
train_5406,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_22977,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_4943,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_2603,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_2304,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_22130,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_27618,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_5978,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_17854,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
train_34654,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_9623,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_17163,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
